iter	RMSE
0	1.572664665
1	1.559040861
2	1.54476984
3	1.532259396
4	1.520189062
5	1.508639192
6	1.497534965
7	1.488831834
8	1.479548528
9	1.471012424
10	1.462335957
11	1.454129366
12	1.446465119
13	1.438679665
14	1.432759126
15	1.426349462
16	1.421293831
17	1.416241932
18	1.412402305
19	1.406705563
20	1.403185866
21	1.399710684
22	1.395863174
23	1.393136592
24	1.390118499
25	1.387392901
26	1.384839484
27	1.383328348
28	1.381518351
29	1.379741093
30	1.377278462
31	1.375365938
32	1.373617145
33	1.371744815
34	1.369935105
35	1.369033004
36	1.367635237
37	1.366877874
38	1.364532254
39	1.36352749
40	1.362348979
41	1.361112862
42	1.35979616
43	1.358738016
44	1.357299202
45	1.356028162
46	1.354492865
47	1.353442121
48	1.352182168
49	1.350691417
50	1.350126111
51	1.349043974
52	1.348197895
53	1.347425235
54	1.345998739
55	1.345231651
56	1.344400123
57	1.343580228
58	1.342945244
59	1.342632659
60	1.341737348
61	1.340807875
62	1.339757423
63	1.338472862
64	1.33791456
65	1.337631364
66	1.336747738
67	1.33651028
68	1.335920218
69	1.335190283
70	1.334348315
71	1.333667094
72	1.33271592
73	1.332146808
74	1.331997582
75	1.331815391
76	1.331583152
77	1.331341289
78	1.330682177
79	1.330231277
80	1.33009297
81	1.329368702
82	1.329208614
83	1.328671718
84	1.328143216
85	1.327518983
86	1.326642711
87	1.326480238
88	1.326060095
89	1.325791362
90	1.325415095
91	1.325043743
92	1.324851471
93	1.324432917
94	1.324057169
95	1.323432425
96	1.323294615
97	1.323147209
98	1.322933232
99	1.322700172
100	1.322519485
101	1.322347957
102	1.321954593
103	1.321826347
104	1.321558088
105	1.321290355
106	1.321132581
107	1.320976907
108	1.320715177
109	1.32066409
110	1.320591908
111	1.320472349
112	1.320309237
113	1.320186764
114	1.319791787
115	1.31955811
116	1.319218981
117	1.319046672
118	1.318750631
119	1.318469634
120	1.3181203
121	1.318044258
122	1.317715974
123	1.317613782
124	1.317447202
125	1.317128856
126	1.316799961
127	1.316640796
128	1.316625452
129	1.316517839
130	1.31639164
131	1.31619903
132	1.315983074
133	1.315910217
134	1.31586448
135	1.315825972
136	1.315494576
137	1.315434046
138	1.315225677
139	1.315128759
140	1.315026752
141	1.314908556
142	1.314846027
143	1.314704051
144	1.314614796
145	1.314461419
146	1.314398489
147	1.31427691
148	1.314144855
149	1.313855422
150	1.313778661
151	1.313742249
152	1.313605361
153	1.313543102
154	1.313451507
155	1.313263863
156	1.313061781
157	1.312967196
158	1.312818266
159	1.312687789
160	1.312623718
161	1.312522172
162	1.312379066
163	1.312250353
164	1.312100607
165	1.311984582
166	1.311927055
167	1.311844871
168	1.311824093
169	1.311764296
170	1.311537667
171	1.311515101
172	1.311394046
173	1.311296695
174	1.311159746
175	1.311031936
176	1.310917628
177	1.310674482
178	1.310513723
179	1.310408677
180	1.310332108
181	1.310208521
182	1.31008423
183	1.31003305
184	1.309925838
185	1.309804305
186	1.309639935
187	1.309592001
188	1.309539281
189	1.309509681
190	1.30944715
191	1.309345963
192	1.309286884
193	1.309264793
194	1.309103427
195	1.309009792
196	1.308937371
197	1.308899606
198	1.308855202
199	1.30882545
200	1.308792444
201	1.308761586
202	1.308647505
203	1.308617156
204	1.308535405
205	1.308342131
206	1.308194311
207	1.308161996
208	1.307953934
209	1.307808665
210	1.307774628
211	1.307749999
212	1.307716678
213	1.307696388
214	1.307643633
215	1.307579885
216	1.307512111
217	1.307474651
218	1.307470748
219	1.307412041
220	1.307371347
221	1.307329006
222	1.307283837
223	1.307225442
224	1.307112599
225	1.307014216
226	1.306889637
227	1.30680378
228	1.306684843
229	1.306526384
230	1.306461597
231	1.306336499
232	1.306293638
233	1.306224885
234	1.306101325
235	1.30605212
236	1.30600591
237	1.305968751
238	1.305923449
239	1.305874632
240	1.305864275
241	1.305796582
242	1.305680315
243	1.30566139
244	1.305530569
245	1.305502398
246	1.305467651
247	1.30543751
248	1.305397623
249	1.30534377
250	1.305258637
251	1.305031391
252	1.305002128
253	1.304972402
254	1.304924405
255	1.304902286
256	1.304815619
257	1.304775328
258	1.304734579
259	1.304717399
260	1.304684271
261	1.30467168
262	1.304658663
263	1.304578016
264	1.304525783
