iter	Passed	Remaining
0	305	160935
1	448	118025
2	597	104637
3	752	98530
4	903	94472
5	1071	93232
6	1203	89541
7	1389	90349
8	1574	90810
9	1711	88668
10	1890	88867
11	2038	87654
12	2557	101296
13	2737	100513
14	2889	98827
15	3046	97473
16	3191	95945
17	3328	94298
18	3463	92780
19	3591	91222
20	3731	90084
21	3876	89149
22	4000	87846
23	4135	86855
24	4265	85812
25	4402	85002
26	4544	84327
27	4692	83796
28	4843	83347
29	4986	82778
30	5120	82088
31	5278	81809
32	5415	81231
33	5555	80712
34	5679	80006
35	5826	79634
36	5951	78980
37	6091	78546
38	6231	78138
39	6362	77620
40	6510	77334
41	6650	76954
42	6764	76291
43	6896	75865
44	7023	75389
45	7173	75163
46	7301	74727
47	7440	74400
48	7568	73987
49	7699	73608
50	7834	73274
51	7974	72999
52	8104	72633
53	8241	72339
54	8371	71993
55	8514	71765
56	8704	71926
57	8847	71695
58	9022	71722
59	9179	71603
60	9318	71338
61	9476	71225
62	9615	70974
63	9750	70691
64	9903	70543
65	10067	70474
66	10204	70213
67	10349	70010
68	10496	69827
69	10628	69537
70	10766	69301
71	10891	68976
72	11063	68956
73	11187	68638
74	11358	68604
75	11511	68461
76	11643	68197
77	11778	67950
78	11892	67591
79	12035	67398
80	12185	67244
81	12332	67077
82	12462	66815
83	12588	66539
84	12733	66363
85	12898	66291
86	13085	66331
87	13246	66233
88	13375	65973
89	13499	65699
90	13639	65500
91	13749	65159
92	13882	64935
93	14024	64749
94	14148	64486
95	14297	64339
96	14438	64155
97	14580	63974
98	14707	63731
99	14838	63508
100	14969	63287
101	15107	63096
102	15230	62846
103	15363	62637
104	15477	62350
105	15597	62097
106	15751	61973
107	15877	61746
108	16002	61513
109	16128	61286
110	16251	61051
111	16378	60835
112	16519	60670
113	16755	60849
114	16950	60873
115	17116	60793
116	17296	60759
117	17439	60595
118	17572	60394
119	17723	60259
120	17851	60045
121	17978	59830
122	18074	59514
123	18257	59483
124	18442	59458
125	18609	59371
126	18750	59203
127	18905	59079
128	19076	59002
129	19249	58932
130	19419	58851
131	19585	58755
132	19736	58617
133	19883	58463
134	20020	58282
135	20149	58078
136	20289	57906
137	20422	57715
138	20552	57517
139	20704	57379
140	20851	57230
141	20983	57039
142	21119	56861
143	21226	56603
144	21363	56430
145	21490	56227
146	21610	56010
147	21759	55868
148	21900	55706
149	22030	55515
150	22158	55323
151	22275	55102
152	22412	54932
153	22532	54722
154	22672	54559
155	22818	54413
156	22945	54221
157	23073	54031
158	23198	53838
159	23323	53644
160	23441	53434
161	23558	53224
162	23685	53037
163	23800	52825
164	23917	52617
165	24043	52433
166	24195	52302
167	24311	52096
168	24430	51896
169	24560	51720
170	24683	51531
171	24813	51357
172	24963	51226
173	25115	51097
174	25256	50946
175	25392	50784
176	25503	50575
177	25647	50431
178	25779	50263
179	25920	50112
180	26028	49900
181	26159	49731
182	26278	49541
183	26390	49339
184	26498	49129
185	26635	48974
186	26757	48793
187	26885	48622
188	27019	48464
189	27145	48290
190	27245	48071
191	27361	47883
192	27490	47717
193	27615	47544
194	27717	47333
195	27840	47159
196	27953	46966
197	28087	46811
198	28227	46668
199	28355	46502
200	28503	46371
201	28634	46211
202	28740	46013
203	28872	45856
204	28986	45671
205	29112	45505
206	29227	45323
207	29346	45147
208	29471	44982
209	29602	44826
210	29746	44690
211	29889	44552
212	30008	44379
213	30146	44234
214	30276	44076
215	30406	43919
216	30524	43747
217	30655	43592
218	30766	43409
219	30887	43243
220	31019	43090
221	31145	42929
222	31547	43147
223	31684	43000
224	31818	42849
225	31962	42710
226	32076	42533
227	32210	42381
228	32323	42203
229	32448	42042
230	32593	41905
231	32754	41790
232	32926	41688
233	33060	41537
234	33214	41411
235	33412	41341
236	33557	41203
237	33701	41064
238	33862	40946
239	34017	40820
240	34175	40699
241	34314	40553
242	34433	40384
243	34575	40243
244	34710	40094
245	34854	39955
246	34981	39796
247	35141	39675
248	35307	39561
249	35453	39424
250	35612	39301
251	35756	39161
252	35908	39031
253	36073	38913
254	36224	38781
255	36373	38646
256	36515	38504
257	36668	38373
258	36837	38259
259	37000	38139
260	37138	37992
261	37277	37846
262	37409	37694
263	37566	37566
264	37715	37430
265	37861	37292
266	37990	37136
267	38130	36991
268	38312	36888
269	38463	36753
270	38680	36682
271	38833	36549
272	38978	36408
273	39119	36263
274	39261	36120
275	39402	35976
276	39538	35827
277	39664	35669
278	39780	35503
279	39898	35338
280	40036	35192
281	40186	35056
282	40321	34907
283	40439	34743
284	40578	34598
285	40721	34456
286	40842	34296
287	40994	34162
288	41153	34033
289	41294	33889
290	41458	33764
291	41594	33617
292	41729	33468
293	41856	33314
294	41977	33155
295	42145	33032
296	42289	32891
297	42428	32746
298	42553	32591
299	42684	32440
300	42828	32299
301	42979	32163
302	43148	32040
303	43279	31890
304	43423	31748
305	43545	31592
306	43678	31443
307	43805	31289
308	43928	31133
309	44057	30982
310	44199	30840
311	44297	30667
312	44415	30508
313	44578	30381
314	44717	30237
315	44845	30086
316	44986	29943
317	45113	29791
318	45243	29642
319	45356	29481
320	45473	29324
321	45606	29176
322	45751	29037
323	45889	28893
324	46006	28736
325	46132	28585
326	46291	28454
327	46420	28304
328	46532	28145
329	46660	27996
330	46770	27836
331	46888	27681
332	47001	27523
333	47111	27364
334	47254	27224
335	47361	27063
336	47477	26908
337	47638	26778
338	47765	26630
339	47885	26477
340	48038	26343
341	48158	26191
342	48282	26041
343	48401	25889
344	48522	25738
345	48656	25593
346	48785	25446
347	48916	25301
348	49050	25157
349	49162	25002
350	49290	24855
351	49441	24720
352	49571	24575
353	49695	24426
354	49812	24274
355	49927	24122
356	50084	23990
357	50227	23850
358	50346	23700
359	50477	23555
360	50642	23427
361	50768	23280
362	50880	23127
363	51003	22979
364	51121	22829
365	51250	22684
366	51379	22539
367	51535	22406
368	51658	22259
369	51784	22113
370	51909	21967
371	52042	21824
372	52191	21688
373	52347	21554
374	52479	21411
375	52608	21267
376	52720	21116
377	52862	20977
378	52993	20833
379	53122	20689
380	53257	20548
381	53393	20406
382	53529	20265
383	53684	20131
384	53828	19993
385	53968	19853
386	54098	19710
387	54224	19565
388	54383	19432
389	54521	19292
390	54663	19153
391	54774	19003
392	54905	18860
393	55027	18715
394	55156	18571
395	55276	18425
396	55399	18280
397	55512	18132
398	55663	17996
399	55803	17857
400	55932	17714
401	56069	17573
402	56196	17430
403	56350	17295
404	56724	17227
405	56873	17090
406	57020	16951
407	57206	16825
408	57343	16684
409	57489	16545
410	57601	16397
411	57731	16254
412	57871	16114
413	58002	15971
414	58134	15829
415	58264	15686
416	58407	15547
417	58539	15405
418	58670	15262
419	58798	15119
420	58942	14980
421	59077	14839
422	59203	14695
423	59353	14558
424	59487	14416
425	59612	14273
426	59736	14129
427	59866	13987
428	59989	13843
429	60113	13700
430	60248	13559
431	60380	13417
432	60502	13274
433	60627	13131
434	60767	12991
435	60895	12849
436	61026	12708
437	61169	12569
438	61300	12427
439	61440	12288
440	61567	12145
441	61682	12001
442	61813	11860
443	61963	11722
444	62112	11585
445	62256	11446
446	62423	11311
447	62552	11170
448	62697	11031
449	62838	10892
450	62986	10753
451	63113	10611
452	63236	10469
453	63371	10329
454	63499	10187
455	63643	10048
456	63786	9910
457	63929	9770
458	64082	9633
459	64221	9493
460	64355	9353
461	64481	9211
462	64620	9071
463	64757	8932
464	64893	8791
465	65026	8651
466	65154	8510
467	65294	8371
468	65436	8231
469	65570	8091
470	65703	7951
471	65842	7811
472	65972	7671
473	66107	7531
474	66240	7391
475	66376	7251
476	66512	7111
477	66632	6969
478	66760	6829
479	66888	6688
480	67019	6548
481	67154	6408
482	67283	6268
483	67406	6127
484	67530	5987
485	67650	5846
486	67770	5705
487	67892	5564
488	68020	5424
489	68163	5286
490	68293	5146
491	68445	5008
492	68567	4867
493	68691	4727
494	68828	4588
495	68976	4450
496	69103	4310
497	69228	4170
498	69358	4030
499	69481	3890
500	69601	3750
501	69729	3611
502	69843	3471
503	69969	3331
504	70086	3192
505	70206	3052
506	70324	2912
507	70448	2773
508	70580	2634
509	70693	2495
510	70808	2355
511	70928	2216
512	71064	2077
513	71194	1939
514	71319	1800
515	71528	1663
516	71802	1527
517	71949	1388
518	72084	1250
519	72228	1111
520	72361	972
521	72515	833
522	72635	694
523	72748	555
524	72877	416
525	73011	277
526	73138	138
527	73261	0
