borough_code,borough_name,ward_code,ward_name,lsoa_code,lsoa_name,prediction_score,officers_assigned
E09000019,Islington,E05013701,Canonbury,E01002716,Islington 014A,0.7751210927963257,13
E09000019,Islington,E05013701,Canonbury,E01002722,Islington 018A,0.7649008631706238,13
E09000019,Islington,E05013701,Canonbury,E01002721,Islington 014C,0.8890988230705261,16
E09000019,Islington,E05013701,Canonbury,E01002717,Islington 016A,0.6013451218605042,10
E09000019,Islington,E05013701,Canonbury,E01002720,Islington 016C,0.6661989688873291,12
E09000019,Islington,E05013701,Canonbury,E01002718,Islington 014B,0.4597153663635254,8
E09000019,Islington,E05013701,Canonbury,E01002719,Islington 016B,1.387529730796814,25
E09000019,Islington,E05013704,Highbury,E01002739,Islington 013A,1.1483511924743652,18
E09000019,Islington,E05013704,Highbury,E01002745,Islington 013C,0.8540530800819397,13
E09000019,Islington,E05013704,Highbury,E01002742,Islington 006A,1.111802339553833,17
E09000019,Islington,E05013704,Highbury,E01002741,Islington 009B,0.5082319378852844,8
E09000019,Islington,E05013704,Highbury,E01002740,Islington 013B,0.7521457672119141,12
E09000019,Islington,E05013704,Highbury,E01002744,Islington 009D,0.7555598616600037,12
E09000019,Islington,E05013704,Highbury,E01002743,Islington 009C,0.2973351776599884,4
E09000019,Islington,E05013704,Highbury,E01002738,Islington 009A,0.8217840790748596,13
E09000019,Islington,E05013713,Tufnell Park,E01002788,Islington 008C,0.754959225654602,9
E09000019,Islington,E05013713,Tufnell Park,E01002784,Islington 010C,0.5828467607498169,7
E09000019,Islington,E05013713,Tufnell Park,E01002783,Islington 010B,0.5441133975982666,7
E09000019,Islington,E05013713,Tufnell Park,E01002785,Islington 008B,1.5311486721038818,20
E09000019,Islington,E05013713,Tufnell Park,E01002789,Islington 008D,1.3221452236175537,17
E09000019,Islington,E05013713,Tufnell Park,E01002787,Islington 010E,0.921859085559845,12
E09000019,Islington,E05013713,Tufnell Park,E01002786,Islington 010D,1.9425864219665527,25
